Unnamed: 0.2,Unnamed: 0,blh_C,ps_C,rh_C,t2m_C,wind_C,bc_C,oc_C,dust_C,dust25_C,so4_C,ssa_C,ssa25_C,Month,Year,date,lat,lon,aod,fmf,faod,caod,index_x,date_LT,MOD08_C,MOD09_C_1,MOD09_C_2,MOD09_C_3,MOD09_C_4,MOD09_C_5,MOD09_C_6,MOD09_C_7,MOD09_C_8,MOD09_C_9,MOD09_C_10,MOD09_C_11,MOD09_C_12,MOD09_C_13,MOD09_C_14,MOD09_C_15,Unnamed: 0.1,Row,Col,OID_,index_y,Latitude,Longitude
189908,12,151.19354248046875,98391.21875,47.32591499805029,299.3598937988281,2.283023538238409,0.0439626425504684,0.0283371601253747,0.1588276922702789,0.0852813646197319,0.0283371601253747,0.001102945767343,0.0006545294309034,5.0,2015.0,20150531.0,39.97689,116.38137,0.6269920833333333,0.5131122499999999,0.3235145833333333,0.3034773333333333,Beijing,20150531,492.3125,889.7902221679688,31552.435546875,31191.4453125,30418.578125,30341.822265625,13290.1181640625,2002.4385986328125,1086.4088134765625,2245.502197265625,779.8660278320312,1032.2447509765625,2257.457275390625,1949.86083984375,1471.9033203125,3012.83251953125,53786.0,100,592,80.0,Beijing,39.97689,116.38137
227689,8,18.88248634338379,100748.125,61.15020497598235,271.1617736816406,1.0691473450906677,0.0357614904642105,0.0254186391830444,0.0362217016518116,0.0222413577139377,0.0254186391830444,0.0011870608432218,0.000793952087406,12.0,2014.0,20141227.0,39.97689,116.38137,0.5915549999999999,0.9323424375,0.5514359375,0.0401190625,Beijing,20141227,734.28125,1906.810791015625,28596.158203125,27947.443359375,27499.669921875,27531.1875,11337.3037109375,6340.09228515625,2018.8477783203125,2146.3828125,1742.6881103515625,1875.909423828125,2009.0572509765625,1924.4039306640625,1516.9539794921875,5100.55029296875,91567.0,100,592,79.0,Beijing-CAMS,39.93333,116.31667
189649,8,22.437271118164062,101727.734375,42.891335873038095,268.1908264160156,1.5825703176302912,0.0271536968648433,0.0158279500901699,0.0799982994794845,0.0475513227283954,0.0158279500901699,0.0005297646857798,0.0003930310194846,1.0,2014.0,20140117.0,39.97689,116.38137,0.50968,0.731632,0.372898,0.136782,Beijing,20140117,1364.0625,1482.2161865234375,28729.931640625,27939.658203125,27306.193359375,27312.330078125,5844.44873046875,6375.39404296875,2067.76123046875,2322.614501953125,1681.7841796875,1938.2474365234373,2401.03955078125,2363.073974609375,1967.390625,2402.68798828125,53527.0,100,592,79.0,Beijing-CAMS,39.93333,116.31667
185710,13,88.26171112060547,100117.3359375,48.80403885995064,285.1053771972656,2.555010622942137,0.0184411238878965,0.0649424344301223,0.0450810901820659,0.025382800027728,0.0649424344301223,0.0008317603496834,0.0005415005725808,5.0,2014.0,20140502.0,39.93333,116.31667,0.2478717857142857,0.8302449999999999,0.2055846428571428,0.0422870714285714,Beijing-CAMS,20140502,204.875,1041.76416015625,31043.435546875,30466.107421875,29943.078125,29955.943359375,4122.15478515625,2989.768310546875,1303.2161865234375,2704.184814453125,851.1724243164062,1184.34228515625,2767.07373046875,2416.6796875,1861.5303955078125,3355.2080078125,49588.0,100,592,80.0,Beijing,39.97689,116.38137
242572,9,15.984143257141112,99926.765625,82.39040447900125,287.4659118652344,1.193140270019837,0.0109585085883736,0.0108031518757343,0.0612053200602531,0.0350274220108985,0.0108031518757343,0.0003448852221481,0.0002548178308643,9.0,2013.0,20130910.0,39.97689,116.38137,0.1220665833333333,0.5620206666666666,0.068132,0.05393475,Beijing,20130910,298.5,1100.1759033203125,30307.0625,30003.14453125,29333.6484375,29172.0859375,11507.5966796875,3507.6748046875,802.4559936523438,2196.106201171875,630.676513671875,830.045166015625,2056.4453125,1539.845458984375,900.8084716796876,5621.58935546875,106450.0,100,592,80.0,Beijing,39.97689,116.38137
173452,12,18.63292121887207,98849.3671875,93.37845670394908,297.7177429199219,0.1657594213295195,0.0362045504152774,0.0430013127624988,0.0352485105395317,0.0204082634299993,0.0430013127624988,0.0004087811976205,0.0003068193909712,7.0,2011.0,20110731.0,39.97689,116.38137,0.1764146,0.5887116,0.1029104,0.0735039999999999,Beijing,20110731,395.875,1366.0101318359375,30913.880859375,30642.13671875,29988.11328125,29870.6484375,3118.917236328125,3053.283203125,957.7294311523438,3306.892333984375,721.9765625,1042.439208984375,3009.40673828125,2118.887939453125,1184.576416015625,4824.24853515625,37330.0,100,592,81.0,Beijing_PKU,39.992,116.3102
224199,16,93.5097427368164,98929.65625,50.45834628372959,297.4336242675781,2.6097117746227823,0.0243635401129722,0.0250917039811611,0.0720873773097992,0.0410591997206211,0.0250917039811611,0.0006245903205126,0.0003933313710149,8.0,2014.0,20140810.0,39.93333,116.31667,0.3599334848484848,0.9574158181818182,0.3446924545454545,0.0152410909090909,Beijing-CAMS,20140810,319.15625,1312.328369140625,30617.724609375,30388.130859375,29498.2109375,29270.861328125,10668.5341796875,2562.058837890625,700.0234375,2414.6640625,503.4461669921875,731.0153198242188,2170.261962890625,1562.12841796875,885.801513671875,6333.9619140625,88077.0,100,592,80.0,Beijing,39.97689,116.38137
181048,14,217.4824981689453,99355.1875,65.28177020676692,298.8512878417969,1.573423742021354,0.0622110143303871,0.0743395164608955,0.088349312543869,0.0497547462582588,0.0743395164608955,0.0018447060137987,0.0011700639734044,8.0,2013.0,20130820.0,39.97689,116.38137,2.307004333333333,0.8009213333333333,1.843523,0.4634813333333333,Beijing,20130820,1294.875,897.2676391601562,30315.416015625,29890.896484375,28181.994140625,27859.421875,12606.111328125,2890.30419921875,2687.455810546875,3586.682861328125,2998.443603515625,2901.4638671875,3159.90283203125,2353.54052734375,1491.64990234375,3826.4130859375,44926.0,100,592,79.0,Beijing-CAMS,39.93333,116.31667
231890,8,33.150917053222656,98815.078125,50.29052135710851,293.7760925292969,1.5532501673580992,0.0493337772786617,0.0483075715601444,0.1129363849759101,0.0635608062148094,0.0483075715601444,0.0030261520296335,0.0018946470227092,5.0,2014.0,20140519.0,39.97689,116.38137,2.136107,0.7292563333333333,1.565785,0.570322,Beijing,20140519,1269.09375,869.0416870117188,30891.541015625,30454.919921875,29467.025390625,29396.791015625,12747.6748046875,2139.306640625,1744.203369140625,2590.589111328125,1605.099853515625,1747.4307861328125,2426.96728515625,2004.065673828125,1466.4180908203125,3851.456787109375,95768.0,100,592,80.0,Beijing,39.97689,116.38137
184277,11,18.568790435791016,100531.8828125,51.94988410807859,268.8254089355469,1.0897996335190276,0.0088441129773855,0.0050042178481817,0.0186315737664699,0.0114453230053186,0.0050042178481817,0.0003215042233932,0.00026334595168,12.0,2013.0,20131209.0,39.97689,116.38137,0.0947937777777777,0.501382,0.0474883333333333,0.0473054444444444,Beijing,20131209,72.40625,1420.38427734375,28848.439453125,28195.900390625,27819.39453125,27845.095703125,6311.052734375,6492.89794921875,1275.5618896484375,1901.4898681640625,750.6961669921875,1046.8961181640625,2182.120361328125,2182.423095703125,1765.8804931640625,3355.591064453125,48155.0,100,592,79.0,Beijing-CAMS,39.93333,116.31667
